,CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM,NEW_NAME
37,278,400,35637,156206,Amino Acid,Glutathione Metabolism,584.0,NAMED,ZUKPVRWZDMRIEO-UHFFFAOYSA-N,NC(C(NCC(O)=O)=O)CS,cysteinylglycine,cysteinylglycine,19246-18-5,58762,HMDB0000078,C01419,439498,Pos Early,cysteinylglycine
38,282,400,2372,155469,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4268.0,NAMED,IERHLVCPSMICTF-UHFFFAOYSA-N,NC1=NC(N(C2OC(C(C2O)O)COP(O)(O)=O)C=C1)=O,cytidine 5'-monophosphate (5'-CMP),CMP,63-37-6,5414497,HMDB0000095,C00055,6131,Pos Early,CMP
39,290,305,580,146412,Carbohydrate,Aminosugar Metabolism,1420.0,NAMED,XHMJOUIAFHJHBW-UHFFFAOYSA-N,NC1C(OC(C(C1O)O)COP(O)(O)=O)O,glucosamine 6-phosphate,glucosamine 6-phosphate,3616-42-0,8013767,HMDB0001254,C00352,440997,Polar,glucosaminephosphate
40,294,305,1469,146438,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1371.0,NAMED,NBSCHQHZLSJFNQ-CGDLOXFJSA-N,OP(OC[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O)(O)=O,mannose 6-phosphate,mannose 6-phosphate,"104872-94-8,70442-25-0",19969422,HMDB0001078,C00275,439198,Polar,mannosephosphate
41,297,402,17747,158164,Lipid,Sphingosines,3180.0,NAMED,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,sphingosine,sphingosine,123-78-4,4510275,HMDB0000252,C00319,5280335,Pos Late,sphingosine
42,301,209,34302,126135,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4373.0,NAMED,SBJKKFFYIZUCET-UHFFFAOYSA-N,OCC(C1OC(C(C1=O)=O)=O)O,dehydroascorbate,dehydroascorbate,490-83-5,812,HMDB0001264,C05422,440667,Neg,dehydroascorbate
43,309,400,15522,155557,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1249.0,NAMED,GNGACRATGGDKBX-UHFFFAOYSA-N,OCC(COP(O)(O)=O)=O,dihydroxyacetone phosphate (DHAP),dihydroxyacetone phosphate (DHAP),102783-56-2,3833110,HMDB0001473,C00111,668,Pos Early,dihydroxyacetonephosphateDHAP
44,311,400,15128,155533,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",456.0,NAMED,FFFHZYDWPBMWHY-UHFFFAOYSA-N,O=C(C(CCS)N)O,homocysteine,homocysteine,454-29-5,757,HMDB0000742,C00155,778,Pos Early,homocysteine
45,313,402,17769,158166,Lipid,Sphingolipid Synthesis,3020.0,NAMED,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,3102-56-5,3014,HMDB0000269,C00836,3126,Pos Late,sphinganine
46,327,209,2134,124607,Cofactors and Vitamins,Riboflavin Metabolism,4354.0,NAMED,VWWQXMAJTJZDQX-KUIMXZBMSA-N,OC(C(O)C(O)COP(OP(OC[C@H]1O[C@@H](N(C=N2)C3=C2C(N)=NC=N3)[C@H](O)[C@@H]1O)(O)=O)(O)=O)CN(C(C=C(C)C(C)=C4)=C4N=C5C(N6)=O)C5=NC6=O,flavin adenine dinucleotide (FAD),FAD,"146-14-5,84366-81-4",559059,HMDB0001248,C00016,643975,Neg,FAD
47,330,305,1643,146876,Energy,TCA Cycle,1467.0,NAMED,VZCYOOQTPOCHFL-OWOJBTEDSA-N,OC(/C=C/C(O)=O)=O,fumarate,fumarate,100-17-8,10197150,HMDB0000134,C00122,444972,Polar,fumarate
48,331,400,36738,156248,Peptide,Gamma-glutamyl Amino Acid,650.0,NAMED,OWQDWQKWSLFFFR-UHFFFAOYSA-N,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,1116-22-9,83831,HMDB0011737,C05282,92865,Pos Early,gammaglutamylglutamate
49,338,305,587,147098,Xenobiotics,Food Component/Plant,4828.0,NAMED,RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,527-07-1,10240,HMDB0000625,C00257,"10690,3085666",Polar,gluconate
50,339,305,396,146390,Lipid,"Fatty Acid, Dicarboxylate",1677.0,NAMED,JFCQEDHGNNZCLN-UHFFFAOYSA-N,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),110-94-1,3618533,HMDB0000661,C00489,"743,4418048",Polar,glutarateCDC
51,340,400,58,160611,Amino Acid,"Glycine, Serine and Threonine Metabolism",1.0,NAMED,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,glycine,glycine,56-40-6,730,HMDB0000123,C00037,750,Pos Early,glycine
52,344,400,43802,157048,Amino Acid,Creatine Metabolism,535.0,NAMED,BPMFZUMJYQTVII-UHFFFAOYSA-N,NC(NCC(O)=O)=N,guanidinoacetate,guanidinoacetate,352-97-6,743,HMDB0000128,C00581,763,Pos Early,guanidinoacetate
53,347,400,2849,155481,Nucleotide,"Purine Metabolism, Guanine containing",4198.0,NAMED,RQFCJASXJCIDSX-UHFFFAOYSA-N,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(O)=O,guanosine 5'-monophosphate (5'-GMP),5'- GMP,5550-12-9,741,HMDB0001397,C00144,6804,Pos Early,GMP
54,348,209,1411,124547,Nucleotide,"Purine Metabolism, Guanine containing",4221.0,NAMED,YKBGVTZYEHREMT-UHFFFAOYSA-N,OC1=C(N=CN2C(CC3O)OC3CO)C2=NC(N)=N1,2'-deoxyguanosine,2'-deoxyguanosine,961-07-9,163230,HMDB0000085,C00330,135398592,Neg,deoxyguanosine
55,354,400,1574,155412,Amino Acid,Histidine Metabolism,90.0,NAMED,NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCC1=CNC=N1,histamine,histamine,51-45-6,753,HMDB0000870,C00388,774,Pos Early,histamine
56,355,209,59,123153,Amino Acid,Histidine Metabolism,72.0,NAMED,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,5934-29-2,752,HMDB0000177,C00135,6274,Neg,histidine
57,358,400,590,155331,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",476.0,NAMED,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,hypotaurine,hypotaurine,300-84-5,96959,HMDB0000965,C00519,107812,Pos Early,hypotaurine
58,361,209,1123,123191,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4140.0,NAMED,UGQMRVRMYYASKQ-KQYNXXCUSA-N,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,58-63-9,21241953,HMDB0000195,C00294,6021,Neg,inosine
59,362,400,2133,155461,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4139.0,NAMED,GRSZFWQUAKGDAV-UHFFFAOYSA-N,OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O,inosine 5'-monophosphate (IMP),inosine 5'-monophosphate (IMP),4691-65-0,5482599,HMDB0000175,C00130,8582,Pos Early,inosinemonophosphateIMP
60,363,305,1124,145716,Lipid,Inositol Metabolism,2219.0,NAMED,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,87-89-8,10239179,HMDB0000211,C00137,892,Polar,myoinositol
61,376,400,1125,155350,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",390.0,NAMED,AGPKZVBTJJNPAG-UHFFFAOYSA-N,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,73-32-5,769,HMDB0000172,"C06418,C00407,C16424",6306,Pos Early,isoleucine
62,381,305,6146,147948,Amino Acid,Lysine Metabolism,125.0,NAMED,OYIFNHCXNCRBQI-UHFFFAOYSA-N,OC(CCCC(N)C(O)=O)=O,2-aminoadipate,2-aminoadipate,"1118-90-7,542-32-5",456,HMDB0000510,C00956,92136,Polar,aminoadipate
63,391,400,2132,155460,Amino Acid,Urea cycle; Arginine and Proline Metabolism,499.0,NAMED,RHGKLRLOHDJJDR-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(N)=O,citrulline,citrulline,372-75-8,810,HMDB0000904,C00327,9750,Pos Early,citrulline
64,397,400,60,155300,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",337.0,NAMED,ROHFNLRQFUQHCH-YFKPBYRVSA-N,O=C([C@H](CC(C)C)N)O,leucine,leucine,61-90-5,,HMDB0000687,C00123,6106,Pos Early,leucine
65,407,400,1301,155354,Amino Acid,Lysine Metabolism,107.0,NAMED,KDXKERNSBIXSRK-UHFFFAOYSA-N,NC(C(O)=O)CCCCN,lysine,lysine,56-87-1,5747,HMDB0003405,"C00739,C00047",5962,Pos Early,lysine
66,409,209,1303,123199,Energy,TCA Cycle,1469.0,NAMED,BJEPYKJPYRNKOW-UHFFFAOYSA-N,OC(C(O)=O)CC(O)=O,malate,malate,6915-15-7,510,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",525,Neg,malate
67,415,400,1302,155355,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",440.0,NAMED,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(O)=O,methionine,methionine,63-68-3,5907,HMDB0000696,C00073,6137,Pos Early,methionine
68,424,209,1336,125720,Lipid,Long Chain Saturated Fatty Acid,1528.0,NAMED,IPCSVZSSVZVIGE-UHFFFAOYSA-N,OC(CCCCCCCCCCCCCCC)=O,palmitate (16:0),palmitate (16:0),57-10-3,960,HMDB0000220,C00249,985,Neg,palmitate
69,428,209,31475,124695,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4330.0,NAMED,BOPGDPNILDQYTO-JTDWVUTFSA-N,O[C@@H]([C@H]1O)[C@H](O[C@H]1COP(OP(OC[C@H]2O[C@@H](N(C=CC3)C=C3C(N)=O)[C@H](O)[C@@H]2O)(O)=O)(O)=O)N4C(N=CN=C5N)=C5N=C4,nicotinamide adenine dinucleotide reduced (NADH),NADH,"606-68-8,58-68-4",388299,HMDB0001487,C00004,439153,Neg,NADH
70,432,400,594,155332,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4325.0,NAMED,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(C1=CN=CC=C1)=O,nicotinamide,nicotinamide,98-92-0,911,HMDB0001406,C00153,936,Pos Early,nicotinamide
71,439,209,1358,125724,Lipid,Long Chain Saturated Fatty Acid,1532.0,NAMED,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,stearate (18:0),stearate (18:0),57-11-4,5091,HMDB0000827,C01530,5281,Neg,stearate
72,444,400,1493,155375,Amino Acid,Urea cycle; Arginine and Proline Metabolism,494.0,NAMED,AHLPHDHHMVZTML-BYPYZUCNSA-N,O=C(O)[C@@H](N)CCCN,ornithine,ornithine,3184-13-2,6026,HMDB0000214,C00077,6262,Pos Early,ornithine
73,445,305,1505,146440,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4228.0,NAMED,PXQPEWDEAKTCGB-UHFFFAOYSA-N,O=C(C1=CC(O)=NC(O)=N1)O,orotate,orotate,50887-69-9,942,HMDB0000226,C00295,967,Polar,orotate
74,448,400,27727,155840,Amino Acid,Glutathione Metabolism,575.0,NAMED,YPZRWBKMTBYPTK-BJDJZHNGSA-N,O=C([C@@H](NC(CC[C@@H](C(O)=O)N)=O)CSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)NCC(O)=O,"glutathione, oxidized (GSSG)","glutathione, oxidized (GSSG)",103239-24-3,58835,HMDB0003337,"D00031,C00127",65359,Pos Early,glutathioneoxidizedGSSG
75,452,209,33447,126083,Lipid,Long Chain Monounsaturated Fatty Acid,1547.0,NAMED,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC\C=C/CCCCCCCC(O)=O,palmitoleate (16:1n7),palmitoleate (16:1n7),373-49-9,393216,HMDB0003229,C08362,445638,Neg,palmitoleaten
76,460,400,64,155301,Amino Acid,Phenylalanine Metabolism,142.0,NAMED,COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(C(O)=O)CC1=CC=CC=C1,phenylalanine,phenylalanine,63-91-2,5910,HMDB0000159,C00079,6140,Pos Early,phenylalanine
77,461,400,42109,156915,Energy,Oxidative Phosphorylation,1486.0,NAMED,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,phosphate,phosphate,7664-38-2,1032,HMDB0001429,C00009,1061,Pos Early,phosphate
78,469,402,1510,157932,Lipid,Sphingolipid Synthesis,3023.0,NAMED,AERBNCYCJBRYDG-KSZLIROESA-N,O[C@@H]([C@@H](O)[C@@H](N)CO)CCCCCCCCCCCCCC,phytosphingosine,phytosphingosine,554-62-1,21238683,HMDB0004610,C12144,122121,Pos Late,phytosphingosine
79,480,400,1898,155455,Amino Acid,Urea cycle; Arginine and Proline Metabolism,502.0,NAMED,ONIBWKKTOPOVIA-UHFFFAOYSA-N,OC(C1CCCN1)=O,proline,proline,147-85-3,128566,"HMDB0000162,HMDB0003411","C00148,C000763","8988,145742,614",Pos Early,proline
80,482,305,527,146396,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1257.0,NAMED,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(O)=O,lactate,lactate,79-33-4,592,HMDB0000190,C00186,612,Polar,lactate
81,492,209,5331,152420,Cofactors and Vitamins,Vitamin B6 Metabolism,4471.0,NAMED,NGVDGCNFYWLIFO-UHFFFAOYSA-N,O=P(O)(O)OCC1=CN=C(C)C(O)=C1C([H])=O,pyridoxal phosphate,pyridoxal phosphate,"41468-25-1,54-47-7",1022,HMDB0001491,C00018,1051,Neg,pyridoxalphosphate
82,493,400,3138,155486,Cofactors and Vitamins,Vitamin B6 Metabolism,4470.0,NAMED,ZMJGSOSNSPKHNH-UHFFFAOYSA-N,NCC1=C(COP(O)(O)=O)C=NC(C)=C1O,pyridoxamine phosphate,pyridoxamine phosphate,529-96-4,1024,HMDB0001555,C00647,1053,Pos Early,pyridoxaminephosphate
83,496,400,2127,155459,Amino Acid,Glutathione Metabolism,574.0,NAMED,RWSXRVCMGQZWBV-WDSKDSINSA-N,O=C(N[C@@H](CS)C(NCC(O)=O)=O)CC[C@@H]([C@@](O)=O)N,"glutathione, reduced (GSH)","glutathione, reduced (GSH)",70-18-8,111188,HMDB0000125,"D00014,C00051",124886,Pos Early,glutathionereducedGSH
